81145628,114
80117401,108
70234439,93
80058654,107
80125979,100
80163890,103
70304989,101
80164077,88
80117902,107
70304990,99
80169755,100
70299204,105
80182480,116
80182483,87
80182596,103
80182482,98
80182597,89
80182481,94
80182621,93
80057969,102
80060297,102
80046728,92
80046727,96
70304988,107
80057700,96
80045922,104
80244601,91
80203094,130
80190843,102
70241607,97
80988892,99
80239639,95
80159586,87
80152447,122
80221550,104
81154455,119
81113928,91
81052275,108
81132437,100
80178151,113
80058026,105
70303496,101
80162141,81
80095641,93
81176188,91
80159880,105
81016044,110
80158838,94
81016045,96
70142798,102
70062814,75
80158839,109
80147760,100
80177405,105
80113482,97
81160036,120
81173255,87
81078908,107
81155784,90
80201906,88
80052612,94
80113641,100
81054495,102
80996949,95
80239337,98
70212504,103
81011682,92
80128317,108
81027384,107
80030186,106
80116921,103
80187061,96
80181555,100
80081155,108
80184358,114
80198585,92
70233894,101
81011955,87
80128722,120
80182115,93
80163293,94
80104068,102
80119349,101
80199032,104
80180449,99
80019931,104
81053893,109
80200087,104
81053892,104
81002850,85
81004470,98
80157072,113
81001809,102
80201933,99
81002864,102
81016750,98
81002866,77
80992039,96
80126507,85
80225885,101
81132443,101
80218107,95
80231903,106
80220715,84
81171121,91
80241248,94
81012295,106
80060037,93
60003155,97
81177238,98
70270775,100
81025403,117
80215923,97
80151483,113
80173625,108
80005444,118
80244682,103
81075519,106
80166318,95
81186758,102
81186757,91
80108976,109
80208155,91
80198423,102
80162144,116
81053953,108
81074113,98
80992496,84
70304191,91
80103311,78
81176200,81
80238106,105
80208906,106
80097321,105
80106966,103
81004814,108
81080769,98
70267838,98
80211380,93
80196586,85
80099204,101
80059432,110
81172721,90
81172727,97
70153543,90
81172728,123
81095101,89
80195173,98
80241960,86
80115346,86
80124522,110
80102952,94
80214464,97
80157073,102
80243600,97
81020513,92
81020518,96
81020523,101
80216172,97
81122669,100
80184771,87
81000389,99
81132439,104
81035117,101
80244627,108
80150502,113
80189183,98
80997866,112
80119815,123
80993149,84
80224294,118
80203776,99
80143797,93
80161931,95
80128096,114
80057610,113
80017275,99
81107545,86
70118953,93
80190449,89
70259208,95
80163156,108
80176878,98
80131281,112
80131374,102
80131436,97
80131376,106
80131435,98
80131375,111
80149143,110
81144925,115
80987075,67
80192815,95
80136785,103
80135278,98
80136452,87
80066798,100
81147293,110
70178604,111
80991316,96
80190588,108
70124316,105
70229037,82
80219119,98
80037280,90
80165072,95
80058248,87
70307661,108
70117312,94
80092885,101
80108371,85
70129452,103
80045805,100
80101827,113
70251519,103
81174992,108
81044365,90
81030342,90
70143865,91
70054723,87
81069393,123
80012550,89
81131761,99
81176196,119
70143831,105
81003648,96
81016326,116
80241102,98
80227777,86
81018233,80
81016317,97
81016337,91
81018234,124
80241103,111
80240816,99
81018241,104
81018235,103
81018236,95
81018237,90
81018238,98
81016339,84
80067522,106
80192149,103
80142637,101
80192014,115
80192015,102
80168230,97
80202129,73
80088910,120
70290909,110
80126566,101
80033772,106
81093951,96
80238013,78
81089941,102
81000011,113
80243899,103
80217733,100
80220035,99
80194704,103
80225949,102
80999985,97
81002336,107
80188120,102
80164779,92
80993613,84
81092328,123
81183572,86
81037283,92
80244973,113
81095103,110
81132438,101
80217779,114
80211572,101
81161230,103
81002412,97
81023636,94
80217669,106
80153467,113
80192834,103
80198046,90
80106307,105
80993062,91
81098586,100
70267728,102
81011508,99
81001000,114
80192445,127
80158670,100
80223685,103
80189586,111
80244019,100
80162143,99
81060174,116
70130445,105
80216928,118
81001494,109
81077065,93
80991570,107
80184129,100
60000861,105
1151375,98
81137484,101
80187228,101
81031008,110
70099119,111
70039185,100
81073764,89
81165769,90
70056433,101
70113003,103
60031232,101
80032842,101
81137482,115
70043308,98
81165771,111
70044697,99
70105368,82
80241003,93
81141689,104
1008581,87
70058023,109
81165786,81
81165770,96
70043303,112
70136074,98
1153194,119
70112730,89
81154900,92
81154956,90
81158575,115
81065786,110
70087541,105
81004113,115
81003984,107
70024088,108
81005312,85
80082969,101
80994130,104
81019924,100
81018240,102
81013710,101
70077076,103
81014988,98
80102950,97
80994108,97
70055221,116
81005314,90
80242828,85
81004223,109
80198730,94
80999945,90
